name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
Red-backed shrike	https://martinfrancois.github.io/bird-images/lanius-collurio-red-backed-shrike-06-3.jpg	The red-backed shrike (Lanius collurio ) is a carnivorous passerine bird and member of the shrike family Laniidae. Its breeding range stretches from Western Europe east to central Russia. It is migratory and winters in the eastern areas of tropical Africa and southern Africa.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Red-billed chough	https://martinfrancois.github.io/bird-images/alpenkrc3a4he.jpg	The red-billed chough, Cornish chough or simply chough ( CHUF; Pyrrhocorax pyrrhocorax ), is a bird in the crow family, one of only two species in the genus Pyrrhocorax. Its eight subspecies breed on mountains and coastal cliffs from the western coasts of Ireland and Britain east through southern Europe and North Africa to Central Asia, India and China.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Not a migrant	-	Decreasing	Least concern (LC)	-
Red-breasted flycatcher	https://martinfrancois.github.io/bird-images/1709px-red-breatsed-flycatcher-ficedula-parva-by-dr-raju-kasambe-dscn6899-281029.jpg	The red-breasted flycatcher (Ficedula parva ) is a small passerine bird in the Old World flycatcher family. It breeds in eastern Europe and across Central Asia and is migratory, wintering in south Asia. It is a regular passage migrant in western Europe, whereas the collared flycatcher which breeds further east is rare. This is because of the different migration direction.The Asian species Ficedula albicilla, previously considered a subspecies of the red-breasted flycatcher, has the red throat surrounded by grey and a different song. It is usually now separated as the taiga flycatcher (Pallas, 1811).	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Red-breasted merganser	https://martinfrancois.github.io/bird-images/2560px-mergo-cristado.jpg	The red-breasted merganser (Mergus serrator ) is a diving duck, one of the sawbills. The genus name is a Latin word used by Pliny and other Roman authors to refer to an unspecified waterbird, and serrator is a sawyer from Latin serra, ""saw"".The red-breasted merganser was one of the many bird species originally described by Carl Linnaeus in his landmark 1758 10th edition of Systema Naturae, where it was given the binomial name Mergus serrator.	Unknown	0	0	800-1350 g	51-64 cm	-	North America, Europe, Asia, Africa	Carnivore,  Piscivores	Migrating	-	Stable	Least concern (LC)	-
Red-crested pochard	https://martinfrancois.github.io/bird-images/nette-rousse-netta-rufina-adsc-3949-285110480728229.jpg	The red-crested pochard (Netta rufina ) is a large diving duck. The scientific name is derived from Greek Netta ""duck"", and Latin rufina, ""golden-red"" (from rufus, ""ruddy""). Its breeding habitat is lowland marshes and lakes in southern Europe and it extends from the steppe and semi-desert areas on the Black Sea to Central Asia and Mongolia, wintering in the Indian Subcontinent and Africa. It is somewhat migratory, and northern birds winter further south into north Africa.	Unknown	0	0	1-1.4 kg	50-65 cm	85-90 cm	Europe, Asia, Africa	Algivore,  Granivore,  Herbivore	Migrating	-	Unknown	Least concern (LC)	-
Red-footed falcon	https://martinfrancois.github.io/bird-images/rotfuc39ffalke2c-weibl.jpg	The red-footed falcon (Falco vespertinus ), formerly the western red-footed falcon, is a bird of prey. It belongs to the family Falconidae, the falcons. This bird is found in eastern Europe and Asia although its numbers are dwindling rapidly due to habitat loss and hunting. It is migratory, wintering in Africa. It is a regular wanderer to western Europe, and in August 2004 a red-footed falcon was found in North America for the first time on the island of Martha's Vineyard, Massachusetts.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Red-necked grebe	https://martinfrancois.github.io/bird-images/2560px-podiceps-grisegena-283362473896629.jpg	The red-necked grebe (Podiceps grisegena ) is a migratory aquatic bird found in the temperate regions of the northern hemisphere. Its wintering habitat is largely restricted to calm waters just beyond the waves around ocean coasts, although some birds may winter on large lakes. Grebes prefer shallow bodies of fresh water such as lakes, marshes or fish-ponds as breeding sites.	Unknown	0	0	800-1600 g	43-56 cm	-	North America, Europe, Asia	Carnivore,  Piscivores	Migrating	-	Decreasing	Least concern (LC)	-
Red-throated loon	https://martinfrancois.github.io/bird-images/gulkana-wsr-281653862648029.jpg	The red-throated loon (North America) or red-throated diver (Britain and Ireland) (Gavia stellata ) is a migratory aquatic bird found in the northern hemisphere. The most widely distributed member of the loon or diver family, it breeds primarily in Arctic regions, and winters in northern coastal waters. Ranging from 55 to 67 centimetres (22 to 26�in) in length, the red-throated loon is the smallest and lightest of the world's loons. In winter, it is a nondescript bird, greyish above fading to white below. During the breeding season, it acquires the distinctive reddish throat patch which is the basis for its common name. Fish form the bulk of its diet, though amphibians, invertebrates, and plant material are sometimes eaten as well. A monogamous species, red-throated loons form long-term pair bonds. Both members of the pair help to build the nest, incubate the eggs (generally two per clutch), and feed the hatched young.	Unknown	0	0	1816 g	-	-	North America, Europe, Asia	Carnivore,  Piscivores	Migrating	7 weeks	Decreasing	Least concern (LC)	-
Redwing	https://martinfrancois.github.io/bird-images/2527px-cotoneaster-frigidus-turdus-iliacus-5.jpg	The redwing (Turdus iliacus ) is a bird in the thrush family, Turdidae, native to Europe and the Palearctic, slightly smaller than the related song thrush.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Ring ouzel	https://martinfrancois.github.io/bird-images/2560px-2015-04-20-turdus-torquatus-torquatus-cairngorm-1.jpg	The ring ouzel (Turdus torquatus ) is a mainly European member of the thrush family Turdidae. It is a medium-sized thrush, 23�24 centimetres (9.1�9.4�in) in length and weighing 90�138 grams (3.2�4.9�oz). The male is predominantly black with a conspicuous white crescent across its breast. Females are browner and duller than males, and young birds may lack the pale chest markings altogether. In all but the northernmost part of its range, this is a high-altitude species, with three races breeding in mountains from Ireland east to Iran. It breeds in open mountain areas with some trees or shrubs, the latter often including heather, conifers, beech, hairy alpenrose or juniper. It is a migratory bird, leaving the breeding areas to winter in southern Europe, North Africa and Turkey, typically in mountains with juniper bushes. The typical clutch is 3�6 brown-flecked pale blue or greenish-blue eggs. They are incubated almost entirely by the female, with hatching normally occurring after 13�days. The altricial, downy chicks fledge in another 14�days and are dependent on their parents for about 12�days after fledging.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Ring-Necked Duck	https://martinfrancois.github.io/bird-images/ring-necked-duck.jpg	The ring-necked duck (Aythya collaris ) is a diving duck from North America commonly found in freshwater ponds and lakes. The scientific name is derived from Greek aithuia, an unidentified seabird mentioned by authors including Hesychius and Aristotle, and Latin collaris, ""of the neck"" from collum, ""neck"".	Unknown	20	0	490-910 g	39-46 cm	62-63 cm	North America, South America	Omnivore,  Folivore,  Herbivore	Migrating	49-55 days	Increasing	Least concern (LC)	25-29 days
Rock bunting	https://martinfrancois.github.io/bird-images/rock-bunting-28emberiza-cia29-282900174638529.jpg	The  rock bunting (Emberiza cia ) is a passerine bird in the bunting family Emberizidae, a group now separated by most modern authors from the finches, Fringillidae.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Rock Dove	https://martinfrancois.github.io/bird-images/garden-bird.jpg	The Rock dove (Columba livia) is a member of the bird family Columbidae (doves and pigeons)._ It is often simply referred to as the ""pigeon"". The domestic pigeon (Columba livia domestica, which includes about 1,000 different breeds) descended from this species. Escaped domestic pigeons have increased the populations of feral pigeons around the world.	260 Mln	35	100	238-380 g	29-37 cm	62-72 cm	Asia, Europe, Africa, Oceania, North America, South America	Omnivore	Not a migrant	4 weeks	Decreasing	Least concern (LC)	16-19 days
Rock partridge	https://martinfrancois.github.io/bird-images/alectoris-graeca-28cropped29.jpg	The rock partridge or common rock partridge (Alectoris graeca ) is a gamebird in the pheasant family, Phasianidae, of the order Galliformes (gallinaceous birds). It is native to southern Europe, and is closely related and very similar to its eastern equivalent, the chukar partridge, A. chukar.	Unknown	0	0	-	-	-	Europe	-	Partial Migrant	-	Decreasing	Near Threatened (NT)	-
Rock Ptarmigan	https://martinfrancois.github.io/bird-images/1200px-rock-ptarmigan-lagopus-mutajpg.jpg	The rock ptarmigan (Lagopus muta ) is a medium-sized game bird in the grouse family. It is known simply as the ptarmigan in the UK. It is the official bird for the Canadian territory of Nunavut, and the official game bird for the province of Newfoundland and Labrador. In Japan, it is known as the raich_ (__), which means ""thunder bird"". It is the official bird of Gifu, Nagano, and Toyama Prefectures and is a protected species nationwide. Unlike many arctic inhabiting bird species, ptarmigan do not gain substantial mass to hibernate over winter.	5-25 mln	4	0	440-640 g	34-36 cm	54-60 cm	North America, Europe, Asia	Herbivore	Altitudinal Migrant	10-12 weeks	Decreasing	Least concern (LC)	20-21 days
Rough-legged buzzard	https://martinfrancois.github.io/bird-images/2560px-buteo-lagopus-284603090397229.jpg	The rough-legged buzzard or rough-legged hawk (Buteo lagopus ) is a medium-large bird of prey. It is found in Arctic and Subarctic regions of North America, Europe, and Russia during the breeding season and migrates south for the winter. It was traditionally also known as the rough-legged falcon in such works as John James Audubon's The Birds of America.	Unknown	19	0	745-1380 g	46-59 cm	122-143 cm	North America, Europe, Asia	Carnivore	Migrating	-	Stable	Least concern (LC)	-
Ruddy Turnstone	https://martinfrancois.github.io/bird-images/WpiWFTQFibf5lzcpfMGn.jpg	The ruddy turnstone (Arenaria interpres ) is a small wading bird, one of two species of turnstone in the genus Arenaria.	460-730 thou	19	64	85-150 g	22-24 cm	50-57 cm	Europe, Asia, Africa, North America, South America, Oceania, Antarctica	Carnivore,  Scavenger,  Insectivores,  Molluscivore	Partial Migrant, Migrating	19-21 days	Decreasing	Least concern (LC)	-
Ruff	https://martinfrancois.github.io/bird-images/2560px-philomachus-pugnaxruffkampflc3a4ufer.jpg	The ruff (Calidris pugnax ) is a medium-sized wading bird that breeds in marshes and wet meadows across northern Eurasia. This highly gregarious sandpiper is migratory and sometimes forms huge flocks in its winter grounds, which include southern and western Europe, Africa, southern Asia and Australia.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Sand Martin	https://martinfrancois.github.io/bird-images/hirondelle-de-rivage-riparia-riparia-barn-swallow-schlucken-1.jpg	The sand martin (Riparia riparia ), also known as the bank swallow (in the Americas), collared sand martin, or common sand martin, is a migratory passerine bird in the swallow family. It has a wide range in summer, embracing practically the whole of Europe and the Mediterranean countries and across the Palearctic to the Pacific Ocean. It is a Holarctic species also found in North America. It winters in eastern and southern Africa, South America, and the Indian Subcontinent.	10-500M	9	50	10-19 g	12-14 cm	25-29 cm	North America, South America, Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	25-29 days	Decreasing	Least concern (LC)	14-15 days
Sanderling	https://martinfrancois.github.io/bird-images/2560px-2014-05-25-sanderling2c-paignton-beach2c-devon-1.jpg	The sanderling (Calidris alba ) is a small wading bird. The name derives from Old English sand-yr_ling, ""sand-ploughman"". The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific, alba, is Latin for ""white"".	Unknown	0	0	40-100 g	18-20 cm	-	North America, Europe, Asia, South America, Africa	Carnivore,  Insectivores,  Molluscivore	Migrating	-	Unknown	Least concern (LC)	-
Sandwich tern	https://martinfrancois.github.io/bird-images/ecomare-grote-stern-28grote-stern-2086-sw29.jpg	The Sandwich tern (Thalasseus sandvicensis ) is a tern in the family Laridae. It is very closely related to the lesser crested tern (T. bengalensis ), Chinese crested tern (T. bernsteini ), Cabot's tern (T. acuflavidus ), and elegant tern (T. elegans ) and has been known to interbreed with the lesser crested. It breeds in the Palearctic from Europe to the Caspian Sea wintering to South Africa, India and Sri Lanka.	Unknown	0	0	130-311 g	36-46 cm	86-105 cm	North America, Europe, Asia, South America, Africa	Carnivore,  Molluscivore,  Piscivores	Migrating	-	Stable	Least concern (LC)	-
Savi's warbler	https://martinfrancois.github.io/bird-images/savi27s-warbler-28locustella-luscinioides29-281436708309529.jpg	Savi's warbler (Locustella luscinioides ) is a species of Old World warbler in the grass warbler genus Locustella. It breeds in Europe and the western Palearctic. It is migratory, wintering in northern and sub-Saharan Africa.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Sedge warbler	https://martinfrancois.github.io/bird-images/sedge-warbler-28acrocephalus-schoenobaenus29-2.jpg	The sedge warbler (Acrocephalus schoenobaenus ) is an Old World warbler in the genus Acrocephalus. It is a medium-sized warbler with a brown, streaked back and wings and a distinct pale supercilium. Sedge warblers are migratory, crossing the Sahara to get from their European and Asian breeding grounds to spend winter in Africa. The male's song is composed of random chattering phrases and can include mimicry of other species. The sedge warbler is mostly insectivorous.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Short-Eared Owl	https://martinfrancois.github.io/bird-images/gXgrbL6QnRMnm1nSLSRw.jpg	The short-eared owl (Asio flammeus ) is a widespread grassland species in the family Strigidae. Owls belonging to genus Asio are known as the eared owls, as they have tufts of feathers resembling mammalian ears. These ""ear"" tufts may or may not be visible. The short-eared owl will display its tufts when in a defensive pose, although its very short tufts are usually not visible. The short-eared owl is found in open country and grasslands.	3 mln	15	0	206-475 g	34-43 cm	85-110 cm	Europe, Asia, Africa, North America, South America	Carnivore	Partial Migrant, Migrating	4 weeks	Decreasing	Least concern (LC)	21-37 days
Short-toed snake eagle	https://martinfrancois.github.io/bird-images/one-taking-off-in-the-grasslands-near-bangalore-city.jpg	The short-toed snake eagle (Circaetus gallicus ), also known as the short-toed eagle, is a medium-sized bird of prey in the family Accipitridae, which also includes many other diurnal raptors such as kites, buzzards and harriers. The genus name Circaetus is from the Ancient Greek kirkos, a type of hawk, and aetos, ""eagle"". The specific gallicus means ""of Gallia"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Short-toed treecreeper	https://martinfrancois.github.io/bird-images/2560px-gartenbaumlc3a4ufer-28329-283420992477329.jpg	The short-toed treecreeper (Certhia brachydactyla ) is a small passerine bird found in woodlands through much of the warmer regions of Europe and into north Africa. It has a generally more southerly distribution than the other European treecreeper species, the common treecreeper, with which it is easily confused where they both occur. The short-toed treecreeper tends to prefer deciduous trees and lower altitudes than its relative in these overlap areas. Although mainly sedentary, vagrants have occurred outside the breeding range.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Not a migrant	-	Increasing	Least concern (LC)	-
Smew	https://martinfrancois.github.io/bird-images/2560px-mergellus-albellus2c-killingworth-lake2c-northumberland-3.jpg	The smew (Mergellus albellus ) is a species of duck, and is the only living member of the genus Mergellus. Mergellus is a diminutive of Mergus and albellus is from Latin albus ""white"". This genus is closely related to Mergus and is sometimes included in it, though it might be closer to the goldeneyes (Bucephala ). The smew has hybridized with the common goldeneye (B. clangula ).	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Snow Bunting	https://martinfrancois.github.io/bird-images/snow-bunting-sampson-sp-seneca-lake.jpg	The snow bunting (Plectrophenax nivalis ) is a passerine bird in the family Calcariidae. It is an Arctic specialist, with a circumpolar Arctic breeding range throughout the northern hemisphere. There are small isolated populations on a few high mountain tops south of the Arctic region, including the Cairngorms in central Scotland and the Saint Elias Mountains on the southern Alaska-Yukon border, as well as the Cape Breton Highlands. The snow bunting is the most northerly recorded passerine in the world.	above 40 mln	8.9	0	30-40 g	15 cm	32-38 cm	Europe, North America, Asia	Omnivore,  Carnivore,  Insectivores	Migrating	-	Decreasing	Least concern (LC)	12-14 days
Song Thrush	https://martinfrancois.github.io/bird-images/song-thrush-taltrast-turdus-philomelos.jpg	Song thrushes (Turdus philomelos) are popular birds that breed across the West Palearctic. They build neat mud-lined cup nests and have the habit of using a favorite stone as an ""anvil"" on which to break open the shells of snails when they are feeding.	75-120 mln	10	0	50-107 g	20-24 cm	34 cm	Europe, Asia, Africa	Omnivore	Migrating	29-34 days	Increasing	Least concern (LC)	-
Spectacled warbler	https://martinfrancois.github.io/bird-images/curruca-tomillera2c-sylvia-conspicillata-orbitalis-sspe29980-28576853724429.jpg	The spectacled warbler (Curruca conspicillata ) is a species in the typical warbler genus, Curruca. The specific conspicillata is from Latin conspicillum, a place to look from, equivalent to ""spectacled"".	Unknown	0	0	-	-	-	-	-	Migrating	-	Unknown	Least concern (LC)	-
Spotted crake	https://martinfrancois.github.io/bird-images/spotted-crake-28porzana-porzana29-284918270045229.jpg	The spotted crake (Porzana porzana ) is a small waterbird of the family Rallidae. The scientific name is derived from Venetian terms for small rails.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Spotted flycatcher	https://martinfrancois.github.io/bird-images/2560px-grauwe-vliegenvanger.jpg	The spotted flycatcher (Muscicapa striata ) is a small passerine bird in the Old World flycatcher family. It breeds in most of Europe and in the Palearctic to Siberia, and is migratory, wintering in Africa and south western Asia. It is declining in parts of its range.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Spotted nutcracker	https://martinfrancois.github.io/bird-images/tannenhc3a4her-28nucrifraga-caryocatactes292c-recht2c-ostbelgien-28393829876329.jpg	The spotted nutcracker, Eurasian nutcracker, or just nutcracker, (Nucifraga caryocatactes ) is a passerine bird slightly larger than the Eurasian jay. It has a much larger bill and a slimmer looking head without any crest. The feathering over its body is predominantly chocolate brown with distinct white spots and streaks. The wings and upper tail are virtually black with a greenish-blue gloss. It is one of three species of nutcracker. The Kashmir nutcracker (Nucifraga multipunctata ), was formerly considered a subspecies of the spotted. The other member of the genus, Clark's nutcracker (Nucifraga columbiana ), occurs in western North America.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Decreasing	Least concern (LC)	-
Spotted redshank	https://martinfrancois.github.io/bird-images/spotted-redshank-2.jpg	The spotted redshank (Tringa erythropus ) is a wader (shorebird) in the large bird family Scolopacidae. The genus name Tringa is the New Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific erythropus is from Ancient Greek eruthros, ""red"", and pous, ""foot"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Spotted Sandpiper	https://martinfrancois.github.io/bird-images/4d9a4564jpg.jpg	The spotted sandpiper (Actitis macularius ) is a small shorebird. Together with its sister species the common sandpiper (A. hypoleucos ), it makes up the genus Actitis. They replace each other geographically; stray birds may settle down with breeders of the other species and hybridize.	660,000	12	0	34-50 g	18-20 cm	37-40 cm	North America, South America	Carnivore,  Insectivores,  Molluscivore	Migrating	17-21 days	Decreasing	Least concern (LC)	-
Squacco heron	https://martinfrancois.github.io/bird-images/ardeola-1776.jpg	The squacco heron (Ardeola ralloides ) is a small heron, 44�47�cm (17+1�2�18+1�2�in) long, of which the body is 20�23�cm (8�9�in), with 80�92�cm (31+1�2�36�in) wingspan. It is of Old World origins, breeding in southern Europe and the Greater Middle East.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Unknown	Least concern (LC)	-
Stock dove	https://martinfrancois.github.io/bird-images/2560px-2018-03-22-columba-oenas2c-jesmond-dene-1.jpg	The stock dove (Columba oenas ) is a species of bird in the family Columbidae, the doves and pigeons. It is widely distributed in the western Palearctic.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Taiga bean goose	https://martinfrancois.github.io/bird-images/2560px-anser-fabalis-fabalis2c-rspb-saltholme-2.jpg	The taiga bean goose (Anser fabalis ) is a goose that breeds in northern Europe and Asia. This and the tundra bean goose are recognised as separate species by the American Ornithological Society and the International Ornithologists' Union, but are considered a single species by other authorities (collectively called bean goose). It is migratory and winters further south in Europe and Asia. The taiga and tundra bean goose diverged about 2.5 million years ago and established secondary contact ca. 60,000 years ago, resulting in extensive gene flow.	Unknown	0	0	2.8-3.4 kg	65-90 cm	140-190 cm	Europe, Asia	Folivore,  Granivore,  Herbivore	Migrating	-	Decreasing	Least concern (LC)	-
Tawny Owl	https://martinfrancois.github.io/bird-images/gmEE10AycEFmyZkoFgjx.jpg	The tawny owl (also called the brown owl; Strix aluco ) is commonly found in woodlands across much of Eurasia and North Africa, and has 11 recognized subspecies. It is a stocky, medium-sized owl, whose underparts are pale with dark streaks, and whose upper body may be either brown or grey. (In several subspecies, individuals may be of either color.) The tawny owl typically makes its nest in a tree hole where it can protect its eggs and young against potential predators. It is non-migratory and highly territorial: as a result, when young birds grow up and leave the parental nest, if they cannot find a vacant territory to claim as their own, they will often starve.	1-3 mln	27	80	385-800 g	36-46 cm	81-105 cm	Europe, Asia, Africa	Carnivore	Not a migrant	3 months	Stable	Least concern (LC)	28-29 days
Tawny pipit	https://martinfrancois.github.io/bird-images/tawny-pipit.jpg	The tawny pipit (Anthus campestris ) is a medium-large passerine bird which breeds in much of the central Palearctic from northwest Africa and Portugal to Central Siberia and on to Inner Mongolia. It is a migrant moving in winter to tropical Africa and the Indian Subcontinent. The scientific name is from Latin. Anthus is the name for a small bird of grasslands, and the specific campestris means ""of the fields"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Temminck's stint	https://martinfrancois.github.io/bird-images/temminck27s-stint-28calidris-temminckii29-283361370756429.jpg	Temminck's stint (Calidris temminckii ) is a small wader. This bird's common name and Latin binomial commemorate the Dutch naturalist Coenraad Jacob Temminck. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Unknown	Least concern (LC)	-
Tree pipit	https://martinfrancois.github.io/bird-images/pica-das-c3a1rbores.jpg	The tree pipit (Anthus trivialis ) is a small passerine bird which breeds across most of Europe and the Palearctic as far East as the East Siberian Mountains. It is a long-distance migrant moving in winter to Africa and southern Asia. The scientific name is from Latin. Anthus is the name for a small bird of grasslands, and the specific  trivialis means ""common"", from trivium, ""public street"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Tufted Duck	https://martinfrancois.github.io/bird-images/tufted-duck-on-the-water.jpg	The tufted duck or tufted pochard (Aythya fuligula ) is a small diving duck with a population of close to one million birds, found in northern Eurasia. The scientific name is derived from Ancient Greek  aithuia, an unidentified seabird mentioned by authors including Hesychius and Aristotle, and Latin fuligo ""soot"" and gula ""throat"".	2,6-2,9 mln	4	0	560-1,000 g	40-47 cm	65-72 cm	Europe, Asia, North America, Africa	Omnivore	Migrating	70-112 days	Stable	Least concern (LC)	26-28 days
Tundra Swan	https://martinfrancois.github.io/bird-images/false-cape-wildlife-1.jpg	The tundra swan (Cygnus columbianus ) is a small swan of the Holarctic. The two taxa within it are usually regarded as conspecific, but are also sometimes split into two species: Bewick's swan (Cygnus bewickii ) of the Palaearctic and the whistling swan (C. columbianus ) proper of the Nearctic. Birds from eastern Russia (roughly east of the Taymyr Peninsula) are sometimes separated as the subspecies C. c. jankowskii, but this is not widely accepted as distinct, with most authors including them in C. c. bewickii. Tundra swans are sometimes separated in the subgenus Olor together with the other Arctic swan species.	317-336 Thou	25	135	3.4-9.6 kg	115-150 cm	168-211 cm	Europe, Asia, North America, Africa	Herbivore,  Carnivore,  Folivore	Migrating	2 years	-	Least concern (LC)	31-33 days
Velvet scoter	https://martinfrancois.github.io/bird-images/2560px-mc3a4nnliche-samtente-28melanitta-fusca292c-etangs-de-stavelot2c-belgien-283863111966529.jpg	The velvet scoter (Melanitta fusca ), also called a velvet duck, is a large sea duck, which breeds over the far north of Europe and the Palearctic west of the Yenisey basin. The genus name is derived from Ancient Greek melas ""black"" and netta ""duck"". The species name is from the Latin fuscus ""dusky brown"".	Unknown	0	0	-	-	-	Europe, Asia	-	Migrating	-	Decreasing	Vulnerable (VU)	-
Wallcreeper	https://martinfrancois.github.io/bird-images/mauerlc3a4ufer-gerc3b6llfeld.jpg	The wallcreeper (Tichodroma muraria ) is a small passerine bird found throughout the high mountains of the Palearctic from southern Europe to central China. It is the only extant member of both the genus Tichodroma and the family Tichodromidae.	Unknown	0	0	-	-	-	Europe, Asia	-	Migrating	-	Stable	Least concern (LC)	-
Water pipit	https://martinfrancois.github.io/bird-images/anthus-spinoletta-water-pipit-kahramanmara-2016-11-18-01-3jpg.jpg	The Water pipit (Anthus spinoletta ) is a small passerine bird which breeds in the mountains of Southern Europe and the Palearctic eastwards to China. They are short-distance migrants, construct cup-shaped nests, and feed on various small invertebrates picked off the ground or vegetation.	12.9-25.3M	5	0	18-23 g	15-17 cm	21-26 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating, Altitudinal Migrant	-	Stable	Least concern (LC)	14-15 days
Water rail	https://martinfrancois.github.io/bird-images/rc3a2le-d27eau-rallus-aquaticus-285077393685329.jpg	The water rail (Rallus aquaticus ) is a bird of the rail family which breeds in well-vegetated wetlands across Europe, Asia and North Africa. Northern and eastern populations are migratory, but this species is a permanent resident in the warmer parts of its breeding range. The adult is 23�28�cm (9�11�in) long, and, like other rails, has a body that is flattened laterally, allowing it easier passage through the reed beds it inhabits. It has mainly brown upperparts and blue-grey underparts, black barring on the flanks, long toes, a short tail and a long reddish bill. Immature birds are generally similar in appearance to the adults, but the blue-grey in the plumage is replaced by buff. The downy chicks are black, as with all rails. The former subspecies R.�indicus, has distinctive markings and a call that is very different from the pig-like squeal of the western races, and is now usually split as a separate species, the brown-cheeked rail.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Western Bonelli's warbler	https://martinfrancois.github.io/bird-images/2015-04-30-western-bonelli27s-warbler2c-grazalema2c-spain.jpg	The western Bonelli's warbler is a warbler in the leaf warbler genus Phylloscopus. It was formerly regarded as the western subspecies of a wider ""Bonelli's warbler"" species, but as a result of modern taxonomic developments, they are now usually considered to be two species:	Unknown	0	0	-	-	-	Europe, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Western Capercaillie	https://martinfrancois.github.io/bird-images/1187px-tetrao-urogallus-glenfeshie-scotland-1jpg.jpg	The western capercaillie (Tetrao urogallus ), also known as the Eurasian capercaillie, wood grouse, heather cock, cock-of-the-woods, or simply capercaillie, is a heavy member of the grouse family and the largest of all extant grouse species. The heaviest-known specimen, recorded in captivity, had a weight of 7.2 kilograms (16 pounds). Found across Europe and the Palearctic, this primarily-ground-dwelling forest grouse is renowned for its courtship display. This bird shows extreme sexual dimorphism, with males nearly twice the size of females. The global population is listed as ""least concern"" under the IUCN, although the populations of central Europe are declining and fragmented, or possibly extirpated.	3-5.5 mln	18	0	1.5-5 kg	54-85 cm	70-125 cm	Europe, Asia	Herbivore,  Folivore	Not a migrant	-	Decreasing	Least concern (LC)	26-28 days
Western Jackdaw	https://martinfrancois.github.io/bird-images/KvDirYyZsdge2BgUP237.jpg	The Western jackdaw (Coloeus monedula) is a passerine bird in the crow family found across Europe, western Asia and North Africa. The common name of the bird derives from the word jack, denoting ""small"", and daw, a less common synonym for ""jackdaw"", and the native English name for the bird. Jackdaws are intelligent gregarious and very vocal birds that form strong long-lasting pair bonds.	39.8-83.4 ml	20	0	240 g	34-39 cm	-	Europe, Asia, Africa	Omnivore,  Scavenger	Partial Migrant, Migrating	8-9 weeks	Stable	Least concern (LC)	-
